Sale Date,Vessel Name,Sale Price_USD_millions,Year Built,Age_at_Sale_years,Deadweight_000_tons,Trailing1yrAvgMonthlyBDI
Jan-07,Lowlands Belluno,73.0,1999,8,170.2,4647
Jan-07,CHS Moon,45.0,1991,16,150.2,4647
Jan-07,Spring Brave,62.0,1995,12,151.1,4647
Jan-07,Martha Verity,60.0,1995,12,158.0,4647
Jan-07,TTM TBN,61.3,1993,14,174.7,4647
Feb-07,Pantelis SP,83.0,1999,8,169.9,4878
Feb-07,Amazon,45.0,1990,17,149.5,4878
Mar-07,Cape Kassos,100.0,2004,3,170.0,5245
Mar-07,Johnny K,65.0,1994,13,165.3,5245
Mar-07,Zorbas,70.0,1996,11,165.1,5245
Mar-07,Americana,33.0,1987,20,149.0,5245
Mar-07,Martha Verity,63.0,1995,12,158.0,5245
Mar-07,Ulstwater,43.0,1990,17,123.5,5245
Apr-07,Formosabulk Brave,95.0,2001,6,170.1,5752
Apr-07,Formosabulk Clement,95.0,2001,6,170.1,5752
Apr-07,Nautical Dream,63.5,1994,13,151.4,5752
Apr-07,Formosabulk Allstart,67.0,1995,12,150.4,5752
Apr-07,Arimathian,62.0,1994,13,149.8,5752
Apr-07,Boss,31.0,1985,22,139.8,5752
Apr-07,Zorbas II,86.0,1996,11,174.5,6201
May-07,Fertilia,50.5,1997,10,172.6,6201
May-07,Ingenious,64.2,1996,11,170.0,6201
Jun-07,Anangel Dawn,67.0,1994,13,149.3,6618
Jul-07,Orient Fortune,28.0,1984,23,161.4,6618
Jul-07,Great Moon,30.0,1984,23,140.6,6980
Jul-07,Gran Trader,105.0,2001,6,172.5,7411
Aug-07,Cape Brazil,22.0,1981,26,140.8,7411
Sep-07,Thalassini Kyra,133.0,2002,5,164.2,8181
Sep-07,Tiger Lily,90.0,1995,12,149.2,8181
Oct-07,Dong-A Helios,47.0,1986,21,146.9,8886
Oct-07,Marine Hunter,45.0,1984,23,164.5,8886
Oct-07,Peace Glory,57.0,1984,23,166.1,8886
Nov-07,Sumihou,106.0,1996,11,171.1,9663
Nov-07,Gran Trader,152.0,2001,6,172.6,9663
Nov-07,Netadola,97.0,1993,14,149.5,9663
Nov-07,Nordstar,38.0,1983,24,150.7,9663
Nov-07,Capitan Vangelis L,87.5,1992,15,148.2,9663
Dec-07,Voutakos,78.0,1987,20,188.3,10299
Dec-07,Sauchest,35.0,1986,21,98.4,10299
Dec-07,Sinfonia,83.7,1990,17,184.4,10299
Jan-08,Jin Tai,155.0,2004,4,173.9,10526
Feb-08,Dias,58.0,1984,20,135.0,10848
Mar-08,Desimi,83.0,1989,19,207.1,11193
Mar-08,Samos,25.0,1982,26,167.0,11193
Mar-08,Cape Sun,135.0,1999,9,171.7,11193
Apr-08,Nightflight,158.0,2004,4,170.0,11614
Apr-08,Cape Falcon,87.2,1993,15,161.5,12479
May-08,Castle Peak,82.0,1990,18,145.4,12479
