PassengerId,Survived,Pclass,Sex,Age,SibSp,ParCh,Fare,Embarked
1,No,3,male,22,1,0,7.25,S
2,Yes,1,female,38,1,0,71.2833,C
3,Yes,3,female,26,0,0,7.925,S
4,Yes,1,female,35,1,0,53.1,S
5,No,3,male,35,0,0,8.05,S
6,No,3,male,27,0,0,8.4583,Q
7,No,1,male,54,0,0,51.8625,S
8,No,3,male,2,3,1,21.075,S
9,Yes,3,female,27,0,2,11.1333,S
10,Yes,2,female,14,1,0,30.0708,C
11,Yes,3,female,4,1,1,16.7,S
12,Yes,1,female,58,0,0,26.55,S
13,No,3,male,20,0,0,8.05,S
14,No,3,male,39,1,5,31.275,S
15,No,3,female,14,0,0,7.8542,S
16,Yes,2,female,55,0,0,16,S
17,No,3,male,2,4,1,29.125,Q
18,Yes,2,male,23,0,0,13,S
19,No,3,female,31,1,0,18,S
20,Yes,3,female,22,0,0,7.225,C
21,No,2,male,35,0,0,26,S
22,Yes,2,male,34,0,0,13,S
23,Yes,3,female,15,0,0,8.0292,Q
24,Yes,1,male,28,0,0,35.5,S
25,No,3,female,8,3,1,21.075,S
26,Yes,3,female,38,1,5,31.3875,S
27,No,3,male,26,0,0,7.225,C
28,No,1,male,19,3,2,263,S
29,Yes,3,female,24,0,0,7.8792,Q
30,No,3,male,23,0,0,7.8958,S
31,No,1,male,40,0,0,27.7208,C
32,Yes,1,female,48,1,0,146.5208,C
33,Yes,3,female,18,0,0,7.75,Q
34,No,2,male,66,0,0,10.5,S
35,No,1,male,28,1,0,82.1708,C
36,No,1,male,42,1,0,52,S
37,Yes,3,male,18,0,0,7.2292,C
38,No,3,male,21,0,0,8.05,S
39,No,3,female,18,2,0,18,S
40,Yes,3,female,14,1,0,11.2417,C
41,No,3,female,40,1,0,9.475,S
42,No,2,female,27,1,0,21,S
43,No,3,male,,0,0,7.8958,C
44,Yes,2,female,3,1,2,41.5792,C
45,Yes,3,female,19,0,0,7.8792,Q
46,No,3,male,30,0,0,8.05,S
47,No,3,male,20,1,0,15.5,Q
