,Survived,Pclass,Sex,Age,SibSp,ParCh,Fare,Embarked,FamilySize,FamType,SurvTF
0,No,3,male,22.0,1,0,7.25,S,1,Medium,False
1,Yes,1,female,38.0,1,0,71.2833,C,1,Medium,True
2,Yes,3,female,26.0,0,0,7.925,S,0,Single,True
3,Yes,1,female,35.0,1,0,53.1,S,1,Medium,True
4,No,3,male,35.0,0,0,8.05,S,0,Single,False
5,No,3,male,27.0,0,0,8.4583,Q,0,Single,False
6,No,1,male,54.0,0,0,51.8625,S,0,Single,False
7,No,3,male,2.0,3,1,21.075,S,4,Medium,False
8,Yes,3,female,27.0,0,2,11.1333,S,2,Medium,True
9,Yes,2,female,14.0,1,0,30.0708,C,1,Medium,True
10,Yes,3,female,4.0,1,1,16.7,S,2,Medium,True
11,Yes,1,female,58.0,0,0,26.55,S,0,Single,True
12,No,3,male,20.0,0,0,8.05,S,0,Single,False
13,No,3,male,39.0,1,5,31.275,S,6,Large,False
14,No,3,female,14.0,0,0,7.8542,S,0,Single,False
15,Yes,2,female,55.0,0,0,16.0,S,0,Single,True
16,No,3,male,2.0,4,1,29.125,Q,5,Large,False
17,Yes,2,male,23.0,0,0,13.0,S,0,Single,True
18,No,3,female,31.0,1,0,18.0,S,1,Medium,False
19,Yes,3,female,22.0,0,0,7.225,C,0,Single,True
20,No,2,male,35.0,0,0,26.0,S,0,Single,False
21,Yes,2,male,34.0,0,0,13.0,S,0,Single,True
22,Yes,3,female,15.0,0,0,8.0292,Q,0,Single,True
23,Yes,1,male,28.0,0,0,35.5,S,0,Single,True
24,No,3,female,8.0,3,1,21.075,S,4,Medium,False
25,Yes,3,female,38.0,1,5,31.3875,S,6,Large,True
26,No,3,male,26.0,0,0,7.225,C,0,Single,False
27,No,1,male,19.0,3,2,263.0,S,5,Large,False
28,Yes,3,female,24.0,0,0,7.8792,Q,0,Single,True
29,No,3,male,23.0,0,0,7.8958,S,0,Single,False
30,No,1,male,40.0,0,0,27.7208,C,0,Single,False
31,Yes,1,female,48.0,1,0,146.5208,C,1,Medium,True
32,Yes,3,female,18.0,0,0,7.75,Q,0,Single,True
33,No,2,male,66.0,0,0,10.5,S,0,Single,False
34,No,1,male,28.0,1,0,82.1708,C,1,Medium,False
35,No,1,male,42.0,1,0,52.0,S,1,Medium,False
36,Yes,3,male,18.0,0,0,7.2292,C,0,Single,True
37,No,3,male,21.0,0,0,8.05,S,0,Single,False
38,No,3,female,18.0,2,0,18.0,S,2,Medium,False
39,Yes,3,female,14.0,1,0,11.2417,C,1,Medium,True
40,No,3,female,40.0,1,0,9.475,S,1,Medium,False
41,No,2,female,27.0,1,0,21.0,S,1,Medium,False
42,No,3,male,,0,0,7.8958,C,0,Single,False
43,Yes,2,female,3.0,1,2,41.5792,C,3,Medium,True
44,Yes,3,female,19.0,0,0,7.8792,Q,0,Single,True
45,No,3,male,30.0,0,0,8.05,S,0,Single,False
46,No,3,male,20.0,1,0,15.5,Q,1,Medium,False
47,Yes,3,female,27.0,0,0,7.75,Q,0,Single,True
48,No,3,male,16.0,2,0,21.6792,C,2,Medium,False
49,No,3,female,18.0,1,0,17.8,S,1,Medium,False
50,No,3,male,7.0,4,1,39.6875,S,5,Large,False
51,No,3,male,21.0,0,0,7.8,S,0,Single,False
52,Yes,1,female,49.0,1,0,76.7292,C,1,Medium,True
53,Yes,2,female,29.0,1,0,26.0,S,1,Medium,True
54,No,1,male,65.0,0,1,61.9792,C,1,Medium,False
55,Yes,1,male,46.0,0,0,35.5,S,0,Single,True
56,Yes,2,female,21.0,0,0,10.5,S,0,Single,True
57,No,3,male,28.5,0,0,7.2292,C,0,Single,False
58,Yes,2,female,5.0,1,2,27.75,S,3,Medium,True
59,No,3,male,11.0,5,2,46.9,S,7,Large,False
60,No,3,male,22.0,0,0,7.2292,C,0,Single,False
61,Yes,1,female,38.0,0,0,80.0,,0,Single,True
62,No,1,male,45.0,1,0,83.475,S,1,Medium,False
63,No,3,male,4.0,3,2,27.9,S,5,Large,False
64,No,1,male,64.0,0,0,27.7208,C,0,Single,False
65,Yes,3,male,7.0,1,1,15.2458,C,2,Medium,True
66,Yes,2,female,29.0,0,0,10.5,S,0,Single,True
67,No,3,male,19.0,0,0,8.1583,S,0,Single,False
68,Yes,3,female,17.0,4,2,7.925,S,6,Large,True
69,No,3,male,26.0,2,0,8.6625,S,2,Medium,False
70,No,2,male,32.0,0,0,10.5,S,0,Single,False
71,No,3,female,16.0,5,2,46.9,S,7,Large,False
